,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Sem 13,Sem 13,Sem 13,Sem 14,Sem 14,Sem 14,Votos recebidos
,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Dia 86,Dia 88,Dia 91,Dia 93,Dia 96,Final,Votos recebidos
Líder,Líder,Nego Di,Arthur,Karol,Sarah,João Luiz,Rodolffo,Fiuk,Gilberto,Arthur,Viih Tube,Viih Tube,Caio,Viih Tube,Gilberto,Pocah,Gilberto,Juliette,(nenhum),(nenhum),
Anjo,Anjo,Rodolffo,Carla,Caio,Caio,Caio,Arthur,Projota,Viih Tube,Thaís,FiukGilberto,FiukGilberto,João Luiz,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,Caio,Camilla,Rodolffo,Rodolffo,Caio,Projota,Arthur,Thaís,Viih Tube,João Luiz,João Luiz,Camilla,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,ArcrebianoJoão Luiz,ArcrebianoGilbertoThaís,(nenhum),(nenhum),Carla,(nenhum),(nenhum),(nenhum),Gilberto,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),ArcrebianoRodolffoSarah,JulietteKarolThaís,(nenhum),(nenhum),FiukLumenaRodolffo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Contragolpe),Indicado(Contragolpe),(nenhum),(nenhum),Nego Di,(nenhum),(nenhum),CaioPocah,(nenhum),(nenhum),RodolffoThaís,Juliette,Juliette,(nenhum),(nenhum),(nenhum),Fiuk,Pocah,(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Líder),Indicado(Líder),Kerline,Gilberto,Sarah,Karol,Projota,CarlaJoão Luiz,Projota,Rodolffo,Juliette,Gilberto,Gilberto,Thaís,FiukGilberto,Pocah,Gilberto,Camilla,Pocah,CamillaGilbertoJuliette,(nenhum),
Indicado(Casa),Indicado(Casa),Arcrebiano,Arcrebiano,Fiuk,GilbertoProjota,Arthur,Arthur,GilbertoPocahThaís,Caio,Sarah,Rodolffo,Caio,ArthurPocah,ArthurCaio,ArthurJoão Luiz,Viih Tube,Arthur,CamillaGilberto,CamillaGilbertoJuliette,(nenhum),
Bate e Volta(Indicados),Bate e Volta(Indicados),ArcrebianoRodolffoSarah,ArcrebianoJulietteKarol,(nenhum),ArthurGilbertoProjota,ArthurLumenaRodolffo,ArthurCaioPocah,GilbertoPocahThaís,CaioCarlaFiuk,RodolffoSarahThaís,CaioJulietteRodolffo,CaioJulietteRodolffo,ArthurFiukPocah,ArthurCaio,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Bate e Volta(Salvo),Bate e Volta(Salvo),Arcrebiano,Karol,(nenhum),Projota,Rodolffo,Pocah,Gilberto,Caio,Thaís,Juliette,Juliette,Pocah,Arthur,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
,,,,,,,,,,,,,,,,,,,,(nenhum),,,
,Lucas,Carla,Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),Desistente(Dia 14),0
,Kerline,Arcrebiano,Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),1
,,,,,,,,,,,,,,,,,,,,,
Notas,Notas,"1, 2, 3, 4, 5, 6","7, 8, 9, 10","11, 12, 13, 14","15, 16, 17, 18","19, 20, 21, 22","23, 24, 25, 26","27, 28, 29, 30","31, 32, 33, 34","35, 36, 37, 38","39, 40, 41, 42","39, 40, 41, 42","43, 44","45, 46, 47, 48",49,"50, 51","52, 53, 54","55, 56","57, 58, 59","60, 61",
Paredão,Paredão,KerlineRodolffoSarah,ArcrebianoGilbertoJuliette,FiukNego DiSarah,ArthurGilbertoKarol,ArthurLumenaProjota,ArthurCaioCarlaJoão Luiz,PocahProjotaThaís,CarlaFiukRodolffo,JulietteRodolffoSarah,CaioGilbertoRodolffo,CaioGilbertoRodolffo,ArthurFiukThaís,CaioFiukGilberto,ArthurJoão LuizPocah,FiukGilbertoViih Tube,ArthurCamillaPocah,CamillaGilbertoPocah,CamillaGilbertoJuliette,CamillaFiukJuliette,
Desistente,Desistente,(nenhum),Lucas,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Eliminado,"Kerline83,50%para eliminar","Arcrebiano64,89%para eliminar","Nego Di98,76%para eliminar","Karol99,17%para eliminar","Lumena61,31%para eliminar","Carla62,40%para beneficiar","Projota91,89%para eliminar","Carla44,96%para eliminar","Sarah76,76%para eliminar","Rodolffo50,48%para eliminar","Rodolffo50,48%para eliminar","Thaís82,29%para eliminar","Caio70,22%para eliminar","João Luiz58,86%para eliminar","Viih Tube96,69%para eliminar","Arthur61,34%para eliminar","Pocah73,16%para eliminar","Gilberto50,87%para eliminar","Fiuk4,62% para vencer",
Eliminado,Eliminado,"Kerline83,50%para eliminar","Arcrebiano64,89%para eliminar","Nego Di98,76%para eliminar","Karol99,17%para eliminar","Lumena61,31%para eliminar","Carla62,40%para beneficiar","Projota91,89%para eliminar","Carla44,96%para eliminar","Sarah76,76%para eliminar","Rodolffo50,48%para eliminar","Rodolffo50,48%para eliminar","Thaís82,29%para eliminar","Caio70,22%para eliminar","João Luiz58,86%para eliminar","Viih Tube96,69%para eliminar","Arthur61,34%para eliminar","Pocah73,16%para eliminar","Gilberto50,87%para eliminar","Camilla5,23% para vencer",
Outras %,Outras %,"Sarah8,62%para eliminar","Juliette33,23%para eliminar","Fiuk0,87%para eliminar","Arthur0,54%para eliminar","Projota37,07%para eliminar","João Luiz28,07%para beneficiar","Thaís6,72%para eliminar","Rodolffo44,45%para eliminar",Rodolffo22%para eliminar,"Caio44,09%para eliminar","Caio44,09%para eliminar","Arthur15,88%para eliminar","Fiuk27,99%para eliminar","Pocah28,21%para eliminar","Fiuk2,60%para eliminar","Camilla30,77%para eliminar","Gilberto14,94%para eliminar","Camilla47,65%para eliminar","Juliette90,15%para vencer",
Outras %,Outras %,"Sarah8,62%para eliminar","Juliette33,23%para eliminar","Fiuk0,87%para eliminar","Arthur0,54%para eliminar","Projota37,07%para eliminar","Caio8,25%para beneficiar","Thaís6,72%para eliminar","Rodolffo44,45%para eliminar",Rodolffo22%para eliminar,"Caio44,09%para eliminar","Caio44,09%para eliminar","Arthur15,88%para eliminar","Fiuk27,99%para eliminar","Pocah28,21%para eliminar","Fiuk2,60%para eliminar","Camilla30,77%para eliminar","Gilberto14,94%para eliminar","Camilla47,65%para eliminar","Juliette90,15%para vencer",
Outras %,Outras %,"Rodolffo7,88%para eliminar","Gilberto1,88%para eliminar","Sarah0,37%para eliminar","Gilberto0,29%para eliminar","Arthur1,62%para eliminar","Caio8,25%para beneficiar","Pocah1,39%para eliminar","Fiuk10,59%para eliminar","Juliette1,24%para eliminar","Gilberto5,43%para eliminar","Gilberto5,43%para eliminar","Fiuk1,83%para eliminar","Gilberto1,79%para eliminar","Arthur12,93%para eliminar","Gilberto0,71%para eliminar","Pocah7,89%para eliminar","Camilla11,90%para eliminar","Juliette1,48%para eliminar","Juliette90,15%para vencer",
Outras %,Outras %,"Rodolffo7,88%para eliminar","Gilberto1,88%para eliminar","Sarah0,37%para eliminar","Gilberto0,29%para eliminar","Arthur1,62%para eliminar","Arthur1,28%para beneficiar","Pocah1,39%para eliminar","Fiuk10,59%para eliminar","Juliette1,24%para eliminar","Gilberto5,43%para eliminar","Gilberto5,43%para eliminar","Fiuk1,83%para eliminar","Gilberto1,79%para eliminar","Arthur12,93%para eliminar","Gilberto0,71%para eliminar","Pocah7,89%para eliminar","Camilla11,90%para eliminar","Juliette1,48%para eliminar","Juliette90,15%para vencer",
Votos,Votos,29.227.926,105.169.555,169.038.642,285.230.781,97.050.122,62.655.999,89.412.933,535.713.590,654.386.216,416.934.323,416.934.323,106.557.323,62.170.447,86.040.087,107.654.900,414.924.814,59.703.676,514.371.762,633.284.707,
