Bate e Volta(Indicados),Bate e Volta(Indicados),ChumboPyong,(nenhum),(nenhum),FelipeVictor Hugo,BabuMarcelaVictor Hugo,(nenhum),FelipeGizellyPyong,(nenhum),BabuFlayslaneRafa,DanielFelipeIvy,FlayslaneGabiManuMari,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Bate e Volta(Salvo),Bate e Volta(Salvo),Pyong,(nenhum),(nenhum),Victor Hugo,Marcela,(nenhum),Felipe,(nenhum),Flayslane,Felipe,FlayslaneGabi,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
,,,,,,,,,,,,,,,,,,,,,
,Thelma,Chumbo,CasaBBB,Hadson,Felipe,Flayslane,Guilherme,Felipe,Flayslane,Daniel,Líder,Flayslane,Mari,Líder,Flayslane,Babu,Ivy,Manu,Paredão,Vencedora(Dia 98),7
,Rafa,Pyong,CasaBBB,Hadson,Victor Hugo,Bianca,Líder,Felipe,Flayslane,Flayslane,Felipe,Flayslane,Mari,Marcela,Flayslane,Babu,Ivy,Líder,Paredão,2º lugar(Dia 98),7
,Manu,Pyong,CasaBBB,Hadson,Felipe,Babu,Felipe,Babu,Babu,Flayslane,Felipe,Flayslane,Mari,Ivy,Flayslane,Líder,Ivy,Babu,Finalista,3º lugar(Dia 98),9
,Babu,Pyong,CasaBBB,Hadson,Victor Hugo,Victor Hugo,Pyong,Mari,Flayslane,Mari,Ivy,Marcela,Mari,Marcela,Gizelly,Rafa,Ivy,Manu,Paredão,Eliminado(Dia 96),42
,Mari,Pyong,CasaBBB,Felipe,Felipe,Babu,Babu,Babu,Babu,Thelma,Felipe,Rafa,Manu,Gizelly,Manu,Gizelly,Líder,Manu,Eliminada(Dia 92),Eliminada(Dia 92),15
,Ivy,Ausente,BolhaBBB,Ausente,Felipe,Babu,Babu,Líder,Babu,Flayslane,Babu,Babu,Babu,Babu,Babu,Gizelly,Thelma,Eliminada(Dia 90),Eliminada(Dia 90),Eliminada(Dia 90),9
,Gizelly,Chumbo,CasaBBB,Mari,Felipe,Babu,Felipe,Felipe,Babu,Flayslane,Babu,Flayslane,Babu,Mari,Babu,Ivy,Eliminada(Dia 85),Eliminada(Dia 85),Eliminada(Dia 85),Eliminada(Dia 85),9
,Flayslane,Babu,CasaBBB,Victor Hugo,Victor Hugo,Victor Hugo,Pyong,Babu,Babu,Thelma,Gizelly,Rafa,Babu,Rafa,Rafa,Eliminada(Dia 83),Eliminada(Dia 83),Eliminada(Dia 83),Eliminada(Dia 83),Eliminada(Dia 83),22
,Marcela,Chumbo,CasaBBB,Hadson,Felipe,Babu,Felipe,Felipe,Felipe,Flayslane,Babu,Babu,Babu,Babu,Eliminada(Dia 78),Eliminada(Dia 78),Eliminada(Dia 78),Eliminada(Dia 78),Eliminada(Dia 78),Eliminada(Dia 78),3
,Gabi,Pyong,CasaBBB,Hadson,Líder,Babu,Felipe,Babu,Felipe,Flayslane,Felipe,Babu,Babu,Eliminada(Dia 76),Eliminada(Dia 76),Eliminada(Dia 76),Eliminada(Dia 76),Eliminada(Dia 76),Eliminada(Dia 76),Eliminada(Dia 76),1
,Felipe,Pyong,CasaBBB,Mari,Gizelly,Victor Hugo,Pyong,Mari,Flayslane,Líder,Ivy,Rafa,Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),32
,Daniel,Ausente,BolhaBBB,Ausente,Felipe,Babu,Felipe,Felipe,Felipe,Flayslane,Felipe,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),2
,Pyong,Chumbo,CasaBBB,Hadson,Felipe,Babu,Felipe,Felipe,Líder,Mari,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),18
,Victor Hugo,Pyong,CasaBBB,Flayslane,Felipe,Babu,Felipe,Babu,Gizelly,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),12
,Guilherme,Manu,CasaBBB,Líder,Thelma,Líder,Pyong,Manu,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),2
,Bianca,Pyong,CasaBBB,Victor Hugo,Victor Hugo,Victor Hugo,Pyong,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),3
,Lucas,Pyong,CasaBBB,Mari,Victor Hugo,Daniel,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),1
,Hadson,Manu,CasaBBB,Mari,Gizelly,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),9
,Petrix,Líder,CasaBBB,Hadson,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),1
,Caon,Ausente,BolhaBBB,Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),0
,Renata,Ausente,BolhaBBB,Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),0
,Chumbo,Pyong,Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),4
,,,,,,,,,,,,,,,,,,,,,
Notas,Notas,"1, 2, 3",4,"5, 6, 7","8, 9, 10, 11","12, 13, 14","15, 16","17, 18, 19, 20","21, 22, 23, 24","25, 26, 27","28, 29, 30, 31","32, 33, 34, 35","36, 37","38, 39",40,"41, 42","43, 44","45, 46, 47","48, 49, 50",51,
Paredão,Paredão,BiancaChumbo,IvyRenata,BabuHadsonPetrixPyong,FelipeHadson,BabuLucasVictor Hugo,BiancaFelipeFlayslane,GizellyGuilhermePyong,BabuManuVictor Hugo,BabuPyongRafa,DanielFlayslaneIvy,FelipeManuMari,BabuGabiThelma,BabuFlayslaneMarcela,BabuFlayslaneThelma,BabuGizellyMari,IvyRafaThelma,BabuManuMari,BabuRafaThelma,ManuRafaThelma,
Paredão,Paredão,BiancaChumbo,CaonDaniel,BabuHadsonPetrixPyong,FelipeHadson,BabuLucasVictor Hugo,BiancaFelipeFlayslane,GizellyGuilhermePyong,BabuManuVictor Hugo,BabuPyongRafa,DanielFlayslaneIvy,FelipeManuMari,BabuGabiThelma,BabuFlayslaneMarcela,BabuFlayslaneThelma,BabuGizellyMari,IvyRafaThelma,BabuManuMari,BabuRafaThelma,ManuRafaThelma,
Eliminado,Eliminado,"Chumbo75,54%para eliminar","Renata38,55%para entrar","Petrix80,27%para eliminar","Hadson79,71%para eliminar","Lucas62,62%para eliminar","Bianca53,09%para eliminar","Guilherme56,07%para eliminar","Victor Hugo85,22%para eliminar","Pyong51,70%para eliminar","Daniel80,82%para eliminar","Felipe56,73%para eliminar","Gabi59,61%para eliminar","Marcela49,76%para eliminar",Flayslane63%para eliminar,"Gizelly54,79%para eliminar","Ivy74,17%para eliminar","Mari54,16%para eliminar","Babu57,15%para eliminar","Manu21,09%para vencer",
Eliminado,Eliminado,"Chumbo75,54%para eliminar","Caon41,17%para entrar","Petrix80,27%para eliminar","Hadson79,71%para eliminar","Lucas62,62%para eliminar","Bianca53,09%para eliminar","Guilherme56,07%para eliminar","Victor Hugo85,22%para eliminar","Pyong51,70%para eliminar","Daniel80,82%para eliminar","Felipe56,73%para eliminar","Gabi59,61%para eliminar","Marcela49,76%para eliminar",Flayslane63%para eliminar,"Gizelly54,79%para eliminar","Ivy74,17%para eliminar","Mari54,16%para eliminar","Babu57,15%para eliminar","Rafa34,81%para vencer",
Outras %,Outras %,"Bianca24,46%para eliminar","Ivy61,45%para entrar","Hadson18,63%para eliminar","Felipe20,29%para eliminar","Victor Hugo36,08%para eliminar","Felipe29,27%para eliminar","Pyong43,29%para eliminar","Manu10,18%para eliminar","Babu47,71%para eliminar","Ivy9,64%para eliminar","Manu42,51%para eliminar","Thelma36,28%para eliminar","Flayslane49,18%para eliminar","Thelma36,53%para eliminar","Babu41,33%para eliminar","Thelma19,52%para eliminar","Manu41,26%para eliminar","Thelma31,41%para eliminar","Thelma44,10%para vencer",
Outras %,Outras %,"Bianca24,46%para eliminar","Ivy61,45%para entrar","Pyong0,66%para eliminar","Felipe20,29%para eliminar","Victor Hugo36,08%para eliminar","Felipe29,27%para eliminar","Pyong43,29%para eliminar","Manu10,18%para eliminar","Babu47,71%para eliminar","Ivy9,64%para eliminar","Manu42,51%para eliminar","Thelma36,28%para eliminar","Flayslane49,18%para eliminar","Thelma36,53%para eliminar","Babu41,33%para eliminar","Thelma19,52%para eliminar","Manu41,26%para eliminar","Thelma31,41%para eliminar","Thelma44,10%para vencer",
Outras %,Outras %,"Bianca24,46%para eliminar","Daniel58,83%para entrar","Pyong0,66%para eliminar","Felipe20,29%para eliminar","Babu1,30%para eliminar","Flayslane17,64%para eliminar","Gizelly0,64%para eliminar","Babu4,60%para eliminar","Rafa0,59%para eliminar","Flayslane9,54%para eliminar","Mari0,76%para eliminar","Babu4,11%para eliminar","Babu1,06%para eliminar","Babu0,47%para eliminar","Mari3,88%para eliminar","Rafa6,31%para eliminar","Babu4,58%para eliminar","Rafa11,44%para eliminar","Thelma44,10%para vencer",
Outras %,Outras %,"Bianca24,46%para eliminar","Daniel58,83%para entrar","Babu0,44%para eliminar","Felipe20,29%para eliminar","Babu1,30%para eliminar","Flayslane17,64%para eliminar","Gizelly0,64%para eliminar","Babu4,60%para eliminar","Rafa0,59%para eliminar","Flayslane9,54%para eliminar","Mari0,76%para eliminar","Babu4,11%para eliminar","Babu1,06%para eliminar","Babu0,47%para eliminar","Mari3,88%para eliminar","Rafa6,31%para eliminar","Babu4,58%para eliminar","Rafa11,44%para eliminar","Thelma44,10%para vencer",
